Id,Label
10.1016/s0090-3019(03)00175-7,10.1016/s0090-3019(03)00175-7
id/06602375285,id/06602375285
id/06502380452,id/06502380452
id/06702360632,id/06702360632
10.1016/j.surneu.2005.03.015,10.1016/j.surneu.2005.03.015
10.1016/j.surneu.2006.08.051,10.1016/j.surneu.2006.08.051
id/06602375386,id/06602375386
id/061403733905,id/061403733905
id/06602375688,id/06602375688
10.1016/j.surneu.2006.12.043,10.1016/j.surneu.2006.12.043
id/061403734173,id/061403734173
id/061403734191,id/061403734191
id/06602375579,id/06602375579
10.1016/s0090-3019(02)00978-3,10.1016/s0090-3019(02)00978-3
id/06902130161,id/06902130161
id/06602374855,id/06602374855
10.1016/j.surneu.2007.11.007,10.1016/j.surneu.2007.11.007
br/061302096221,br/061302096221
10.1016/j.surneu.2004.08.077,10.1016/j.surneu.2004.08.077
10.1016/j.surneu.2009.07.047,10.1016/j.surneu.2009.07.047
10.1016/j.surneu.2006.02.027,10.1016/j.surneu.2006.02.027
id/061503729980,id/061503729980
10.1016/j.surneu.2004.09.024,10.1016/j.surneu.2004.09.024
10.1016/s0090-3019(02)00733-4,10.1016/s0090-3019(02)00733-4
id/06602375371,id/06602375371
10.1016/j.surneu.2008.02.022,10.1016/j.surneu.2008.02.022
id/06602374822,id/06602374822
id/06602375258,id/06602375258
10.1016/j.surneu.2005.01.011,10.1016/j.surneu.2005.01.011
id/06502380652,id/06502380652
10.1016/j.surneu.2008.01.018,10.1016/j.surneu.2008.01.018
id/06602375179,id/06602375179
id/06502380612,id/06502380612
10.1016/s0090-3019(02)00759-0,10.1016/s0090-3019(02)00759-0
http://purl.org/spar/datacite/pmid,http://purl.org/spar/datacite/pmid
br/061403699545,br/061403699545
id/06602375553,id/06602375553
id/06602375451,id/06602375451
16531185,16531185
10.1016/s0090-3019(03)00009-0,10.1016/s0090-3019(03)00009-0
br/061302095914,br/061302095914
id/06702360748,id/06702360748
id/061302118486,id/061302118486
id/06602375065,id/06602375065
10.1016/s0090-3019(03)00073-9,10.1016/s0090-3019(03)00073-9
br/06902123061,br/06902123061
br/061302095960,br/061302095960
10.1016/j.surneu.2004.03.007,10.1016/j.surneu.2004.03.007
id/06502380725,id/06502380725
16488237,16488237
19427937,19427937
id/06602375699,id/06602375699
10.1016/j.surneu.2008.04.005,10.1016/j.surneu.2008.04.005
id/061302118383,id/061302118383
id/06402379781,id/06402379781
id/061403734126,id/061403734126
id/06602375428,id/06602375428
id/06502380881,id/06502380881
id/061403734026,id/061403734026
10.1016/j.surneu.2003.10.021,10.1016/j.surneu.2003.10.021
id/061503730031,id/061503730031
id/06602374953,id/06602374953
10.1016/j.surneu.2004.07.019,10.1016/j.surneu.2004.07.019
17586209,17586209
17445598,17445598
id/06902130059,id/06902130059
10.1016/s0090-3019(02)00969-2,10.1016/s0090-3019(02)00969-2
id/06902130254,id/06902130254
18424297,18424297
10.1016/j.surneu.2008.04.020,10.1016/j.surneu.2008.04.020
10.1016/j.surneu.2006.08.004,10.1016/j.surneu.2006.08.004
10.1016/j.surneu.2009.03.017,10.1016/j.surneu.2009.03.017
10.1016/j.surneu.2006.05.015,10.1016/j.surneu.2006.05.015
10.1016/j.surneu.2003.09.012,10.1016/j.surneu.2003.09.012
id/061904662895,id/061904662895
id/061503730511,id/061503730511
10.1016/j.surneu.2005.09.007,10.1016/j.surneu.2005.09.007
10.1016/j.surneu.2003.11.010,10.1016/j.surneu.2003.11.010
id/061403733980,id/061403733980
id/06502380795,id/06502380795
id/06602375639,id/06602375639
id/06502380696,id/06502380696
10.1016/s0090-3019(02)00889-3,10.1016/s0090-3019(02)00889-3
id/061503730574,id/061503730574
19055951,19055951
10.1016/j.surneu.2009.04.028,10.1016/j.surneu.2009.04.028
br/061302096049,br/061302096049
br/061302095929,br/061302095929
10.1016/s0090-3019(02)00739-5,10.1016/s0090-3019(02)00739-5
id/061503729998,id/061503729998
10.1016/j.surneu.2007.08.001,10.1016/j.surneu.2007.08.001
id/06502380539,id/06502380539
19084681,19084681
10.1016/j.surneu.2007.02.053,10.1016/j.surneu.2007.02.053
10.1016/s0090-3019(03)00147-2,10.1016/s0090-3019(03)00147-2
id/06502380786,id/06502380786
10.1016/j.surneu.2007.01.067,10.1016/j.surneu.2007.01.067
10.1016/j.surneu.2007.01.012,10.1016/j.surneu.2007.01.012
id/06502380666,id/06502380666
10.1016/j.surneu.2006.04.001,10.1016/j.surneu.2006.04.001
17512322,17512322
id/06602374913,id/06602374913
10.1016/j.surneu.2007.05.002,10.1016/j.surneu.2007.05.002
br/06402488727,br/06402488727
10.1016/j.surneu.2006.06.045,10.1016/j.surneu.2006.06.045
10.1016/j.surneu.2007.09.001,10.1016/j.surneu.2007.09.001
10.1016/j.surneu.2008.09.024,10.1016/j.surneu.2008.09.024
id/06702360670,id/06702360670
id/061302118322,id/061302118322
id/061403734146,id/061403734146
br/061302095990,br/061302095990
10.1016/j.surneu.2009.06.022,10.1016/j.surneu.2009.06.022
10.1016/s0090-3019(02)00667-5,10.1016/s0090-3019(02)00667-5
br/06402488752,br/06402488752
br/061403699690,br/061403699690
br/061903839782,br/061903839782
id/06502381000,id/06502381000
18486693,18486693
10.1016/j.surneu.2007.05.044,10.1016/j.surneu.2007.05.044
10.1016/j.surneu.2004.11.019,10.1016/j.surneu.2004.11.019
10.1016/j.surneu.2006.05.044,10.1016/j.surneu.2006.05.044
br/06902122968,br/06902122968
id/06402379756,id/06402379756
16050995,16050995
15639508,15639508
10.1016/j.surneu.2005.05.004,10.1016/j.surneu.2005.05.004
10.1016/j.surneu.2006.11.031,10.1016/j.surneu.2006.11.031
10.1016/j.surneu.2007.10.006,10.1016/j.surneu.2007.10.006
id/06602374794,id/06602374794
10.1016/j.surneu.2008.10.013,10.1016/j.surneu.2008.10.013
10.1016/s0090-3019(02)00795-4,10.1016/s0090-3019(02)00795-4
br/061302096233,br/061302096233
id/06502380481,id/06502380481
id/06602375313,id/06602375313
10.1016/j.surneu.2006.01.015,10.1016/j.surneu.2006.01.015
10.1016/j.surneu.2005.10.015,10.1016/j.surneu.2005.10.015
id/06502380543,id/06502380543
10.1016/j.surneu.2008.05.021,10.1016/j.surneu.2008.05.021
id/06602375624,id/06602375624
10.1016/j.surneu.2005.02.004,10.1016/j.surneu.2005.02.004
10.1016/j.surneu.2003.12.003,10.1016/j.surneu.2003.12.003
id/06602374949,id/06602374949
10.1016/j.surneu.2005.08.005,10.1016/j.surneu.2005.08.005
id/06602375707,id/06602375707
10.1016/s0090-3019(01)00712-1,10.1016/s0090-3019(01)00712-1
id/061302118614,id/061302118614
http://purl.org/spar/datacite/doi,http://purl.org/spar/datacite/doi
id/06602375541,id/06602375541
id/061302118621,id/061302118621
id/06502381046,id/06502381046
16378837,16378837
19559923,19559923
id/06502380624,id/06502380624
10.1016/j.surneu.2006.10.024,10.1016/j.surneu.2006.10.024
10.1016/j.surneu.2007.03.036,10.1016/j.surneu.2007.03.036
10.1016/s0090-3019(01)00711-x,10.1016/s0090-3019(01)00711-x
10.1016/j.surneu.2008.11.010,10.1016/j.surneu.2008.11.010
17210283,17210283
id/06702360761,id/06702360761
id/061302118626,id/061302118626
id/06702360658,id/06702360658
id/06602374750,id/06602374750
id/06502381081,id/06502381081
id/06502380578,id/06502380578
10.1016/j.surneu.2004.12.007,10.1016/j.surneu.2004.12.007
id/061503730576,id/061503730576
id/06602375341,id/06602375341
id/06902130117,id/06902130117
id/06602375497,id/06602375497
10.1016/j.surneu.2005.07.045,10.1016/j.surneu.2005.07.045
id/06602374868,id/06602374868
id/061503730395,id/061503730395
id/06602374961,id/06602374961
id/06602374888,id/06602374888
id/061503730521,id/061503730521
id/06902130102,id/06902130102
id/061302118353,id/061302118353
10.1016/j.surneu.2005.06.012,10.1016/j.surneu.2005.06.012
id/061302118307,id/061302118307
id/061302118442,id/061302118442
10.1016/s0090-3019(03)00568-8,10.1016/s0090-3019(03)00568-8
10.1016/j.surneu.2004.04.013,10.1016/j.surneu.2004.04.013
br/061302096228,br/061302096228
id/06602375020,id/06602375020
10.1016/j.surneu.2005.04.023,10.1016/j.surneu.2005.04.023
id/061904662904,id/061904662904
id/061503730431,id/061503730431
id/06602375661,id/06602375661
id/06602375299,id/06602375299
10.1016/j.surneu.2007.07.004,10.1016/j.surneu.2007.07.004
10.1016/s0090-3019(03)00233-7,10.1016/s0090-3019(03)00233-7
id/061904662903,id/061904662903
16427394,16427394
id/061403734378,id/061403734378
10.1016/j.surneu.2005.11.054,10.1016/j.surneu.2005.11.054
id/06902130079,id/06902130079
id/061302118330,id/061302118330
15936360,15936360
br/061403699666,br/061403699666
10.1016/j.surneu.2008.07.015,10.1016/j.surneu.2008.07.015
br/061302096093,br/061302096093
br/061302095937,br/061302095937
10.1016/j.surneu.2004.10.026,10.1016/j.surneu.2004.10.026
10.1016/j.surneu.2004.06.007,10.1016/j.surneu.2004.06.007
10.1016/j.surneu.2005.12.018,10.1016/j.surneu.2005.12.018
id/06602375220,id/06602375220
